iter	Passed	Remaining
404	8542	12550
405	8562	12527
406	8583	12505
407	8602	12482
408	8622	12460
409	8645	12441
410	8664	12416
411	8685	12395
412	8705	12373
413	8726	12352
414	8750	12334
415	8772	12315
416	8794	12295
417	8815	12274
418	8835	12251
419	8854	12228
420	8874	12204
421	8895	12183
422	8916	12162
423	8938	12142
424	8960	12122
425	8979	12099
426	8999	12076
427	9020	12055
428	9043	12036
429	9062	12012
430	9082	11990
431	9102	11967
432	9123	11946
433	9144	11926
434	9166	11906
435	9185	11882
436	9206	11860
437	9225	11837
438	9245	11814
439	9266	11793
440	9285	11770
441	9305	11747
442	9326	11726
443	9346	11703
444	9366	11681
445	9388	11661
446	9410	11641
447	9428	11617
448	9449	11595
449	9468	11573
450	9488	11550
451	9507	11527
452	9528	11506
453	9549	11484
454	9567	11460
455	9587	11438
456	9608	11417
457	9629	11396
458	9652	11377
459	9672	11354
460	9693	11333
461	9714	11313
462	9735	11291
463	9758	11272
464	9779	11251
465	9799	11230
466	9820	11208
467	9841	11187
468	9863	11167
469	9886	11149
470	9908	11128
471	9927	11105
472	9948	11084
473	9970	11064
474	9990	11042
475	10011	11021
476	10034	11002
477	10055	10981
478	10076	10959
479	10097	10938
480	10118	10917
481	10138	10895
482	10159	10874
483	10181	10854
484	10202	10834
485	10221	10810
486	10242	10789
487	10264	10769
488	10285	10747
489	10304	10724
490	10323	10702
491	10343	10680
492	10364	10658
493	10382	10635
494	10402	10612
495	10423	10591
496	10442	10568
497	10463	10547
498	10484	10526
499	10506	10506
500	10526	10484
501	10548	10464
502	10568	10442
503	10588	10420
504	10609	10399
505	10631	10379
506	10652	10358
507	10672	10336
508	10693	10315
509	10716	10296
510	10739	10276
511	10763	10259
512	10785	10238
513	10806	10218
514	10827	10196
515	10847	10174
516	10869	10154
517	10889	10132
518	10913	10114
519	10934	10093
520	10954	10071
521	10976	10051
522	10997	10029
523	11017	10007
524	11037	9986
525	11058	9965
526	11079	9943
527	11101	9923
528	11123	9903
529	11142	9880
530	11161	9858
531	11180	9835
532	11201	9814
533	11221	9792
534	11243	9772
535	11266	9752
536	11288	9732
537	11309	9712
538	11330	9690
539	11349	9668
540	11369	9646
541	11388	9623
542	11408	9601
543	11432	9582
544	11452	9561
545	11472	9539
546	11492	9517
547	11513	9496
548	11532	9473
549	11554	9454
550	11574	9431
551	11594	9410
552	11614	9387
553	11633	9365
554	11653	9343
555	11674	9322
556	11695	9301
557	11716	9280
558	11737	9259
559	11758	9238
560	11779	9217
561	11802	9198
562	11822	9176
563	11840	9153
564	11861	9132
565	11881	9110
566	11900	9088
567	11922	9067
568	11943	9046
569	11964	9026
570	11985	9004
571	12005	8982
572	12026	8962
573	12046	8940
574	12068	8920
575	12090	8900
576	12110	8878
577	12129	8855
578	12151	8835
579	12171	8814
580	12194	8794
581	12215	8773
582	12236	8752
583	12257	8731
584	12278	8710
585	12297	8688
586	12320	8668
587	12342	8648
588	12361	8626
589	12381	8604
590	12400	8581
591	12423	8561
592	12444	8540
593	12464	8519
594	12484	8497
595	12505	8476
596	12526	8455
597	12546	8434
598	12568	8413
599	12588	8392
600	12610	8372
601	12631	8351
602	12652	8329
603	12673	8308
604	12694	8288
605	12720	8270
606	12746	8252
607	12769	8233
608	12791	8212
609	12816	8194
610	12837	8173
611	12861	8153
612	12881	8132
613	12903	8111
614	12925	8091
615	12946	8070
616	12967	8049
617	12988	8028
618	13008	8006
619	13031	7987
620	13050	7964
621	13070	7943
622	13090	7921
623	13111	7900
624	13132	7879
625	13154	7858
626	13173	7837
627	13192	7814
628	13214	7794
629	13236	7773
630	13255	7751
631	13277	7731
632	13297	7709
633	13319	7688
634	13341	7668
635	13360	7646
636	13381	7625
637	13399	7602
638	13419	7581
639	13441	7561
640	13461	7539
641	13480	7516
642	13498	7494
643	13520	7474
644	13540	7452
645	13562	7431
646	13583	7411
647	13604	7390
648	13625	7369
649	13645	7347
650	13663	7325
651	13685	7304
652	13708	7284
653	13729	7263
654	13751	7243
655	13775	7223
656	13797	7203
657	13820	7183
658	13842	7162
659	13863	7141
660	13882	7119
661	13903	7098
662	13923	7077
663	13944	7056
664	13964	7034
665	13988	7015
666	14009	6994
667	14031	6973
668	14054	6953
669	14076	6933
670	14096	6911
671	14117	6890
672	14136	6868
673	14154	6846
674	14174	6824
675	14196	6804
676	14218	6783
677	14241	6763
678	14262	6742
679	14283	6721
680	14306	6701
681	14327	6680
682	14347	6659
683	14367	6637
684	14386	6615
685	14407	6594
686	14427	6573
687	14446	6551
688	14468	6530
689	14487	6509
690	14509	6488
691	14528	6466
692	14548	6445
693	14569	6424
694	14592	6403
695	14612	6382
696	14635	6362
697	14654	6340
698	14676	6319
699	14697	6299
700	14719	6278
701	14740	6257
702	14761	6236
703	14784	6216
704	14804	6194
705	14830	6175
706	14851	6155
707	14873	6134
708	14895	6113
709	14917	6092
710	14937	6071
711	14960	6051
712	14981	6030
713	15004	6010
714	15027	5989
715	15051	5970
716	15072	5949
717	15093	5928
718	15115	5907
719	15136	5886
720	15159	5866
721	15180	5845
722	15202	5824
723	15224	5803
724	15245	5782
725	15267	5762
726	15287	5740
727	15307	5719
728	15326	5697
729	15349	5677
730	15370	5655
731	15391	5635
732	15415	5615
733	15436	5594
734	15456	5572
735	15477	5551
736	15498	5530
737	15519	5509
738	15539	5488
739	15562	5467
740	15580	5445
741	15601	5424
742	15623	5404
743	15642	5382
744	15662	5361
745	15684	5340
746	15706	5319
747	15732	5300
748	15756	5280
749	15778	5259
750	15800	5238
751	15821	5217
752	15843	5196
753	15864	5176
754	15886	5155
755	15908	5134
756	15929	5113
757	15950	5092
758	15971	5071
759	15992	5050
760	16012	5028
761	16032	5007
762	16054	4986
763	16074	4965
764	16094	4944
765	16115	4922
766	16136	4901
767	16157	4880
768	16177	4859
769	16198	4838
770	16219	4817
771	16242	4797
772	16264	4776
773	16286	4755
774	16307	4734
775	16329	4713
776	16350	4692
777	16373	4672
778	16394	4651
779	16416	4630
780	16439	4609
781	16459	4588
782	16480	4567
783	16505	4547
784	16528	4526
785	16547	4505
786	16568	4484
787	16590	4463
788	16611	4442
789	16631	4420
790	16650	4399
791	16673	4378
792	16695	4357
793	16716	4336
794	16738	4316
795	16760	4295
796	16783	4274
797	16804	4253
798	16824	4232
799	16844	4211
800	16866	4190
801	16889	4169
802	16908	4148
803	16928	4126
804	16949	4105
805	16971	4084
806	16990	4063
807	17011	4042
808	17030	4020
809	17051	3999
810	17071	3978
811	17091	3957
812	17115	3936
813	17135	3915
814	17155	3894
815	17176	3873
816	17195	3851
817	17216	3830
818	17240	3810
819	17260	3788
820	17279	3767
821	17301	3746
822	17321	3725
823	17341	3703
824	17359	3682
825	17381	3661
826	17399	3639
827	17420	3618
828	17440	3597
829	17461	3576
830	17482	3555
831	17502	3534
832	17521	3512
833	17542	3491
834	17560	3469
835	17581	3448
836	17601	3427
837	17621	3406
838	17643	3385
839	17665	3364
840	17686	3343
841	17707	3322
842	17729	3301
843	17748	3280
844	17766	3258
845	17787	3237
846	17807	3216
847	17828	3195
848	17849	3174
849	17870	3153
850	17891	3132
851	17915	3112
852	17932	3090
853	17953	3069
854	17974	3048
855	17995	3027
856	18013	3005
857	18034	2984
858	18054	2963
859	18075	2942
860	18094	2921
861	18114	2899
862	18134	2878
863	18154	2857
864	18177	2836
865	18198	2815
866	18221	2795
867	18244	2774
868	18264	2753
869	18284	2732
870	18302	2710
871	18322	2689
872	18345	2668
873	18366	2647
874	18385	2626
875	18407	2605
876	18426	2584
877	18447	2563
878	18469	2542
879	18487	2521
880	18508	2499
881	18529	2478
882	18547	2457
883	18568	2436
884	18588	2415
885	18609	2394
886	18628	2373
887	18649	2352
888	18671	2331
889	18693	2310
890	18714	2289
891	18736	2268
892	18756	2247
893	18777	2226
894	18795	2205
895	18817	2184
896	18840	2163
897	18861	2142
898	18883	2121
899	18903	2100
900	18923	2079
901	18943	2058
902	18962	2036
903	18983	2015
904	19006	1995
905	19027	1974
906	19047	1953
907	19067	1931
908	19087	1910
909	19107	1889
910	19127	1868
911	19148	1847
912	19171	1826
913	19194	1806
