iter	MultiClass
313	1.457932151
314	1.457659621
315	1.457484926
316	1.457283278
317	1.45709956
318	1.456893532
319	1.456629103
320	1.456439439
321	1.456229756
322	1.45597239
323	1.455739948
324	1.455525142
325	1.455235844
326	1.454986361
327	1.454769145
328	1.454624758
329	1.454457164
330	1.45427162
331	1.45401864
332	1.453736457
333	1.453492902
334	1.453320625
335	1.453063598
336	1.452778292
337	1.452493978
338	1.452283437
339	1.451921202
340	1.451843169
341	1.451681211
342	1.451284771
343	1.451247872
344	1.450965158
345	1.450703464
346	1.450382261
347	1.45010138
348	1.449938829
349	1.449561005
350	1.449308345
351	1.449091844
352	1.449009089
353	1.4486185
354	1.448378395
355	1.447967947
356	1.447847028
357	1.447511558
358	1.447282253
359	1.447069529
360	1.446849413
361	1.4466311
362	1.446244365
363	1.445900438
364	1.445751589
365	1.445533758
366	1.44530825
367	1.445185902
368	1.444889689
369	1.444577067
370	1.444302105
371	1.444112649
372	1.443888094
373	1.443740464
374	1.443471148
375	1.44313913
376	1.442900587
377	1.442785678
378	1.442358279
379	1.442192543
380	1.442026134
381	1.441838552
382	1.441446325
383	1.441118741
384	1.440881595
385	1.440597511
386	1.440189696
387	1.439822795
388	1.439669326
389	1.439448385
390	1.439307299
391	1.439126724
392	1.438866282
393	1.43878159
394	1.438535446
395	1.43829318
396	1.438052589
397	1.437782806
398	1.437582526
399	1.437367425
400	1.437162808
401	1.436938185
402	1.436811938
403	1.436516196
404	1.436262495
405	1.435971405
406	1.435663806
407	1.435465979
408	1.435248072
409	1.435078468
410	1.434931868
411	1.43469978
412	1.434329953
413	1.433963938
414	1.433639816
415	1.433466316
416	1.433281256
417	1.432982592
418	1.432805938
419	1.432643667
420	1.432260168
421	1.432127228
422	1.431924629
423	1.43163815
424	1.431469193
425	1.431370931
426	1.431061791
427	1.430866591
428	1.430615615
429	1.430446048
430	1.430322741
431	1.42990927
432	1.429701432
433	1.429621382
434	1.429401194
435	1.429147059
436	1.428913856
437	1.428593036
438	1.428371996
439	1.428103646
440	1.427828532
441	1.427664571
442	1.427501625
443	1.42718029
444	1.427004288
445	1.426795002
446	1.426611709
447	1.426407065
448	1.426138674
449	1.426036786
450	1.425925406
451	1.425763192
452	1.425468051
453	1.425219394
454	1.425078079
455	1.424803119
456	1.424512474
457	1.424344095
458	1.423951835
459	1.423839565
460	1.423552289
461	1.423211153
462	1.423022956
463	1.422730172
464	1.422501085
465	1.42225153
466	1.422120581
467	1.421889069
468	1.421642615
469	1.421268298
470	1.421114413
471	1.420920258
472	1.420766883
473	1.420481337
474	1.420198805
475	1.420020855
476	1.419803257
477	1.419653629
478	1.419526843
479	1.419283646
480	1.419131093
481	1.418863956
482	1.418767746
483	1.418614835
484	1.418425429
485	1.418233002
486	1.417964922
487	1.417731031
488	1.417563379
489	1.417329614
490	1.417157493
491	1.416972378
492	1.416763947
493	1.41642074
494	1.416262202
495	1.416133585
496	1.416026763
497	1.415797366
498	1.415523768
499	1.415342006
500	1.415148908
501	1.414972974
502	1.414689481
503	1.414508432
504	1.414180205
505	1.414045695
506	1.413863132
507	1.413653075
508	1.413447644
509	1.413244886
510	1.413091477
511	1.412873487
512	1.412629803
513	1.412475442
514	1.412201551
515	1.411938983
516	1.411732253
517	1.411420368
518	1.411322969
519	1.410982773
520	1.410706319
521	1.410520609
522	1.41043535
523	1.410277541
524	1.41004485
525	1.409941481
526	1.409773643
527	1.409517522
528	1.409418
529	1.409227986
530	1.409098369
531	1.408868271
532	1.408678607
533	1.408566045
534	1.408430193
535	1.408278809
536	1.40808054
537	1.407753494
538	1.407583039
539	1.407391594
540	1.407134924
541	1.40702427
542	1.406820441
543	1.406534041
544	1.406400607
545	1.406144671
546	1.405909867
547	1.405715405
548	1.405530326
549	1.405342303
550	1.405076223
551	1.404777167
552	1.404645401
553	1.404423777
554	1.404235069
555	1.403999641
556	1.403740187
557	1.403384136
558	1.403249
559	1.402861364
560	1.402617268
561	1.40240722
562	1.402140452
563	1.401980533
564	1.401828818
565	1.401631036
566	1.40142333
567	1.401296468
568	1.400987087
569	1.400721802
570	1.400473439
571	1.400267483
572	1.400082815
573	1.399868801
574	1.399749381
575	1.399586155
576	1.399464721
577	1.399276306
578	1.399025989
579	1.398866254
580	1.398671405
581	1.398445472
582	1.398295975
583	1.398150281
584	1.397865231
585	1.397634599
586	1.397318224
587	1.397114588
588	1.396949431
589	1.396735757
590	1.396602696
591	1.396429402
592	1.396327857
593	1.396189332
594	1.396114759
595	1.396005497
596	1.395634385
597	1.395366437
598	1.395083192
599	1.395014932
600	1.39480842
601	1.394633627
602	1.394424867
603	1.3942768
604	1.394100597
605	1.393904258
606	1.393683856
607	1.393540365
608	1.393432323
609	1.393274283
610	1.39302335
611	1.392881166
612	1.392647322
613	1.392403775
614	1.392261683
615	1.391964938
616	1.391681192
617	1.391538206
618	1.391299058
619	1.391147231
620	1.390915604
621	1.390741607
622	1.390539052
623	1.390381303
624	1.390185463
625	1.389876886
626	1.389691047
627	1.389419138
628	1.389343352
629	1.389083517
630	1.388937571
631	1.388691574
632	1.388581681
633	1.388394578
634	1.388185299
635	1.387989089
636	1.387692366
637	1.387479002
638	1.387382319
639	1.387109512
640	1.386784358
641	1.386600709
642	1.38642152
643	1.386285807
644	1.386124359
645	1.385951282
646	1.385747652
647	1.385495295
648	1.385285361
649	1.385092035
650	1.384943218
651	1.384671523
652	1.384493485
653	1.384193596
654	1.383941112
655	1.383788425
656	1.383603305
657	1.383467991
658	1.383356526
659	1.383144085
660	1.382982792
661	1.38279802
662	1.382581688
663	1.382409001
664	1.382158341
665	1.381914306
666	1.381653888
667	1.381395508
668	1.381281186
669	1.381146404
670	1.38093707
671	1.38075558
672	1.38064504
673	1.380482008
674	1.380151057
675	1.379972433
676	1.379900756
677	1.379736325
678	1.379462594
679	1.379325233
680	1.379167551
681	1.378958451
682	1.378818556
683	1.378635143
684	1.378444012
685	1.378231087
686	1.378015274
687	1.377811071
688	1.377665032
689	1.377506358
690	1.37727309
691	1.377142299
692	1.376982858
693	1.376840144
694	1.376676677
695	1.376534438
696	1.376215574
697	1.376066942
698	1.375993848
699	1.375905978
700	1.375763636
701	1.375549035
702	1.375367914
703	1.375123614
704	1.374709319
705	1.374580269
706	1.374382059
707	1.374242064
708	1.374069732
709	1.373884993
710	1.373738343
711	1.373503644
712	1.373339168
713	1.373145569
714	1.372923044
715	1.372699363
716	1.372376564
717	1.372175776
718	1.371996282
719	1.371788135
720	1.371621004
721	1.371364833
722	1.371213199
723	1.371068284
724	1.370812917
725	1.370688399
726	1.370461575
727	1.37022647
728	1.370098949
729	1.369902702
730	1.369701719
731	1.369529558
732	1.36927265
733	1.36906241
734	1.36880613
735	1.368585722
736	1.368407123
737	1.368288427
738	1.368092123
739	1.367861087
740	1.36748176
741	1.367368204
742	1.367072965
743	1.366941805
744	1.366773175
745	1.366606675
746	1.366436282
747	1.366260187
748	1.366144251
749	1.365981139
750	1.365898932
751	1.365697915
752	1.365541237
753	1.365379889
754	1.365210636
755	1.365000787
756	1.364773179
757	1.364595943
758	1.364417883
759	1.364326974
760	1.364096704
761	1.364011698
762	1.363834265
763	1.363653371
764	1.363545273
765	1.363412974
766	1.363285523
767	1.363069258
768	1.36293964
769	1.362704773
770	1.362519798
771	1.362357348
772	1.362152475
773	1.361863325
774	1.361642699
775	1.361436798
776	1.361279644
777	1.361007375
778	1.360834061
779	1.360702172
780	1.360508052
781	1.360325087
782	1.360125518
783	1.35987418
784	1.35964043
785	1.35944412
786	1.359271332
787	1.359113679
788	1.358867497
789	1.358628477
790	1.358518731
791	1.358313148
792	1.358166842
793	1.35796545
794	1.357737239
795	1.357504129
796	1.357342019
797	1.35714184
798	1.357017961
799	1.356810359
800	1.356601605
801	1.356397902
802	1.356280943
803	1.356135454
804	1.355977588
805	1.355848524
806	1.355689008
807	1.355536717
808	1.355441187
809	1.35536559
810	1.355258999
811	1.355102053
812	1.354952376
813	1.354803083
814	1.354629053
815	1.354534783
816	1.354379689
817	1.354236782
818	1.354126893
819	1.353965356
820	1.353821628
821	1.353709778
822	1.353504
823	1.353254438
824	1.353085651
825	1.352885673
826	1.352798033
827	1.352602815
828	1.352423755
829	1.352230615
830	1.352104141
831	1.351906044
832	1.351781084
833	1.351587895
834	1.351393651
835	1.351105432
836	1.350843534
837	1.350680077
838	1.350599572
839	1.350501848
840	1.350289766
841	1.350164673
842	1.350006081
843	1.349820254
844	1.349562607
845	1.349342566
846	1.349217831
847	1.348942339
848	1.348717172
849	1.348591265
850	1.348434668
851	1.348177004
852	1.348049999
853	1.347891782
854	1.347694215
855	1.347470323
856	1.34717327
857	1.346969221
858	1.346758965
859	1.346627591
860	1.346433323
861	1.3462493
862	1.345927808
863	1.345802455
864	1.345693691
865	1.345437141
866	1.345199434
867	1.34504736
868	1.344861637
869	1.344677739
870	1.344455723
871	1.344377623
872	1.344178489
873	1.343989264
874	1.343870831
875	1.343711102
876	1.343516224
877	1.343357897
878	1.343214466
879	1.342991249
880	1.342891122
881	1.342737599
882	1.342566652
883	1.342361065
884	1.34219089
885	1.341998611
886	1.341819154
887	1.341563004
888	1.341218428
889	1.340987448
890	1.340666284
891	1.340553273
892	1.340403778
893	1.340160189
894	1.339910282
895	1.339778391
896	1.339538979
897	1.339447676
898	1.339226048
899	1.33911301
900	1.338877273
901	1.338662788
902	1.338508284
903	1.338342199
904	1.338134622
905	1.33795813
906	1.33786264
907	1.337619563
908	1.337494211
909	1.33737301
910	1.337207128
911	1.337010201
912	1.336895931
913	1.336735057
914	1.336538992
915	1.336341054
916	1.336149952
917	1.335904289
918	1.335676817
919	1.335492426
920	1.335272084
921	1.3351175
922	1.334929815
923	1.334665206
924	1.33432591
925	1.334132714
926	1.333922348
927	1.333726007
928	1.333565867
929	1.333462131
930	1.333210996
931	1.333098192
932	1.332869337
933	1.332672374
934	1.332620169
935	1.332435431
936	1.332282115
937	1.332192075
938	1.332011508
939	1.331831303
940	1.331669975
941	1.331392654
942	1.331259495
943	1.331096343
944	1.330905274
945	1.330675919
946	1.330609222
947	1.330499743
948	1.330449031
949	1.330277427
950	1.3301395
951	1.329932023
952	1.329720191
953	1.329527239
954	1.329378655
955	1.329268758
956	1.329130297
957	1.329028542
958	1.328844408
959	1.328598209
960	1.328487025
961	1.32830492
962	1.328182862
963	1.328091775
964	1.327993426
965	1.327844221
966	1.327771152
967	1.32764236
968	1.327534542
969	1.327277964
970	1.327043107
971	1.326969564
972	1.326777466
973	1.32662493
974	1.326489674
975	1.326324434
976	1.326186369
977	1.32604652
978	1.325937456
979	1.325718662
980	1.325579444
981	1.325453445
982	1.325256311
983	1.325104673
984	1.324962141
985	1.324852908
986	1.32468376
987	1.324558449
988	1.32434456
989	1.324241613
990	1.324118753
991	1.323882382
992	1.323734548
993	1.323472289
994	1.323351037
995	1.323123384
996	1.322940823
997	1.322789922
998	1.322700725
999	1.322575537
